Protein.Group,Protein.Names,Genes,First.Protein.Description,WT-EXP1,WT-EXP2,WT-EXP3,WT-REQ1,WT-REQ2,WT-REQ3,KO-EXP1,KO-EXP2,KO-EXP3,KO-REQ1,KO-REQ2,KO-REQ3,
Q9D6J3,YJU2_MOUSE,Yju2,Splicing factor YJU2,6.41359E+06,7.804E+06,8.47763E+06,6.02506E+06,7.94515E+06,6.7913E+06,8.84674E+06,7.09704E+06,7.93792E+06,6.36029E+06,6.81039E+06,7.76174E+06,
Q9Z0E6,GBP2_MOUSE,Gbp2,Guanylate-binding protein 2,3.4409E+07,3.24442E+07,3.09212E+07,2.98542E+07,4.4443E+07,2.57019E+07,3.82463E+07,2.90315E+07,3.60097E+07,3.60334E+07,2.98514E+07,3.26085E+07,
P47199,QOR_MOUSE,Cryz,Quinone oxidoreductase,1.39653E+07,1.33396E+07,1.53868E+07,1.78225E+07,1.82155E+07,1.37841E+07,1.54755E+07,1.48473E+07,1.54357E+07,1.95495E+07,1.55521E+07,1.52011E+07,
Q9CZU6,CISY_MOUSE,Cs,"Citrate synthase, mitochondrial",4.81865E+07,4.43656E+07,5.36674E+07,6.59211E+07,5.29427E+07,6.13938E+07,5.03231E+07,4.95408E+07,4.5466E+07,6.22862E+07,5.71617E+07,5.97921E+07,
P0DW87,ZTRF1_MOUSE,Zftraf1,Zinc finger TRAF-type-containing protein 1,1.26434E+07,9.97375E+06,1.05446E+07,1.36353E+07,7.15374E+06,9.15957E+06,1.00653E+07,1.15875E+07,9.62633E+06,1.05509E+07,9.79258E+06,1.00975E+07,
P56960,EXOSX_MOUSE,Exosc10,Exosome component 10,2.64056E+07,2.9866E+07,2.8259E+07,2.68169E+07,2.57718E+07,2.68667E+07,2.86723E+07,2.81475E+07,2.92811E+07,2.55895E+07,2.38918E+07,3.04845E+07,
Q8BMB3,IF4E2_MOUSE,Eif4e2,Eukaryotic translation initiation factor 4E type 2,1.6194E+07,1.60321E+07,1.65006E+07,1.08602E+07,1.74814E+07,1.34064E+07,1.54693E+07,1.77495E+07,1.62548E+07,1.2894E+07,1.46271E+07,1.37246E+07,
O88572,LRP6_MOUSE,Lrp6,Low-density lipoprotein receptor-related protein 6,1.7307E+07,1.77446E+07,1.7306E+07,1.97679E+07,,1.49985E+07,1.80611E+07,1.65282E+07,1.57973E+07,1.64214E+07,1.8815E+07,,
O89050,MKLN1_MOUSE,Mkln1,Muskelin,2.43453E+07,2.02901E+07,1.90895E+07,1.16367E+07,8.04194E+06,9.58071E+06,1.95602E+07,1.90998E+07,1.96837E+07,9.4199E+06,1.01646E+07,9.94204E+06,
P07607,TYSY_MOUSE,Tyms,Thymidylate synthase,2.66466E+07,2.7456E+07,2.14262E+07,9.21911E+06,5.38369E+06,8.88284E+06,2.62627E+07,2.48595E+07,2.81547E+07,7.9341E+06,5.04443E+06,1.00533E+07,
Q80UP5,AN13A_MOUSE,Ankrd13a,Ankyrin repeat domain-containing protein 13A,2.00317E+07,2.04323E+07,1.99611E+07,1.58951E+07,1.64356E+07,1.85625E+07,1.87014E+07,1.92951E+07,2.11179E+07,1.65159E+07,1.81954E+07,1.64212E+07,
Q9D924,ISCA1_MOUSE,Isca1,"Iron-sulfur cluster assembly 1 homolog, mitochondrial",9.19941E+06,7.84468E+06,6.63945E+06,8.11456E+06,7.53217E+06,5.9385E+06,7.49527E+06,6.66482E+06,5.35798E+06,6.35538E+06,5.55321E+06,9.35545E+06,
P16460,ASSY_MOUSE,Ass1,Argininosuccinate synthase,2.97699E+07,2.66438E+07,3.45638E+07,2.19556E+07,4.05169E+07,2.71709E+07,2.43589E+07,2.78451E+07,2.95928E+07,1.76507E+07,3.06143E+07,3.93844E+07,
Q9R1T2,SAE1_MOUSE,Sae1,SUMO-activating enzyme subunit 1,3.36845E+07,5.98536E+07,3.46531E+07,4.17739E+07,9.76282E+07,4.82682E+07,4.79562E+07,3.84137E+07,5.12681E+07,5.36687E+07,8.66002E+07,4.21313E+07,
Q8CJG0,AGO2_MOUSE,Ago2,Protein argonaute-2,5.17907E+07,4.94647E+07,5.35353E+07,6.21444E+07,4.87649E+07,5.40374E+07,5.28323E+07,5.31223E+07,5.26403E+07,5.89009E+07,5.14497E+07,5.35177E+07,
Q7TPE5,S7A6O_MOUSE,Slc7a6os,Probable RNA polymerase II nuclear localization protein SLC7A6OS,7.04119E+06,7.63733E+06,8.09694E+06,5.18557E+06,6.02676E+06,4.12622E+06,8.55058E+06,8.37304E+06,6.74094E+06,5.23012E+06,4.32304E+06,5.95707E+06,
Q3TCX3,KHDC4_MOUSE,Khdc4,KH homology domain-containing protein 4,7.64348E+06,8.05144E+06,7.35636E+06,6.24192E+06,6.05728E+06,7.2248E+06,7.02578E+06,7.06366E+06,7.72472E+06,6.54929E+06,4.71608E+06,8.01052E+06,
P18052,PTPRA_MOUSE,Ptpra,Receptor-type tyrosine-protein phosphatase alpha,2.58387E+07,2.53555E+07,2.60509E+07,2.28002E+07,3.6359E+07,3.03448E+07,2.43222E+07,2.96968E+07,2.41101E+07,2.93223E+07,2.69952E+07,3.21682E+07,
P62071,RRAS2_MOUSE,Rras2,Ras-related protein R-Ras2,964591,1.49116E+06,1.01024E+06,831298,1.37575E+06,1.3534E+06,1.03964E+06,984277,1.52602E+06,913743,1.20435E+06,1.38939E+06,
