Protein.Group,Protein.Names,Genes,First.Protein.Description,WT-EXP1,WT-EXP2,WT-EXP3,WT-REQ1,WT-REQ2,WT-REQ3,KO-EXP1,KO-EXP2,KO-EXP3,KO-REQ1,KO-REQ2,KO-REQ3,
Q8R3J4,MTEF3_MOUSE,Mterf3,"Transcription termination factor 3, mitochondrial",6.33447E+06,4.93205E+06,3.11916E+06,3.44461E+06,,3.12426E+06,3.53654E+06,3.70246E+06,4.83351E+06,3.88152E+06,4.7575E+06,3.20378E+06,
P10076,ZFP26_MOUSE,Zfp26,Zinc finger protein 26,4.22898E+06,4.68709E+06,4.11108E+06,4.36622E+06,,4.44566E+06,3.49833E+06,3.18069E+06,3.95876E+06,4.22797E+06,3.22031E+06,4.25934E+06,
B9EJR8,DAAF5_MOUSE,Dnaaf5,Dynein axonemal assembly factor 5,2.25992E+07,1.79997E+07,1.69646E+07,1.03302E+07,,8.36894E+06,1.79806E+07,1.81294E+07,1.58486E+07,1.10106E+07,1.27503E+07,9.75741E+06,
O88384,VTI1B_MOUSE,Vti1b,Vesicle transport through interaction with t-SNAREs homolog 1B,1.33763E+07,1.23862E+07,1.66883E+07,1.08638E+07,,9.10646E+06,1.26546E+07,1.52093E+07,1.11653E+07,1.13079E+07,1.38152E+07,1.02929E+07,
Q6R2P8,NEIL2_MOUSE,Neil2,Endonuclease 8-like 2,7.31823E+06,5.09213E+06,2.52561E+06,8.28462E+06,,1.54E+07,9.30321E+06,5.21505E+06,5.01503E+06,1.65615E+07,,2.74574E+07,
Q62523,ZYX_MOUSE,Zyx,Zyxin,1.0027E+07,9.82059E+06,9.90715E+06,1.20749E+07,1.75329E+07,1.72259E+07,1.07082E+07,1.02723E+07,8.41249E+06,1.19574E+07,1.38773E+07,1.32179E+07,
Q91W29,COX42_MOUSE,Cox4i2,"Cytochrome c oxidase subunit 4 isoform 2, mitochondrial",4.30903E+07,4.42785E+07,4.09182E+07,3.54099E+07,6.79603E+07,4.51307E+07,4.39638E+07,4.78202E+07,4.10908E+07,3.34112E+07,2.9013E+07,4.34178E+07,
Q8K1R7,NEK9_MOUSE,Nek9,Serine/threonine-protein kinase Nek9,1.8535E+07,2.04906E+07,1.7785E+07,1.36517E+07,1.27503E+07,1.56171E+07,2.02368E+07,1.85992E+07,1.5535E+07,1.43011E+07,1.55709E+07,1.59933E+07,
Q99PI5,LPIN2_MOUSE,Lpin2,Phosphatidate phosphatase LPIN2,5.26889E+06,5.33548E+06,4.39906E+06,7.71902E+06,,5.40033E+06,4.2344E+06,3.96345E+06,5.01274E+06,1.02738E+07,7.42634E+06,8.27296E+06,
Q8BJU9,RF1ML_MOUSE,Mtrf1l,"Peptide chain release factor 1-like, mitochondrial",8.75094E+06,7.61328E+06,7.02267E+06,1.29556E+07,7.02134E+06,8.09165E+06,7.94807E+06,6.94979E+06,7.46733E+06,1.03826E+07,1.48735E+07,1.1472E+07,
P49452,CENPC_MOUSE,Cenpc,Centromere protein C,1.10995E+07,1.51808E+07,1.39866E+07,1.14279E+07,1.19994E+07,1.61445E+07,1.99689E+07,1.15149E+07,1.36279E+07,1.55584E+07,1.52743E+07,1.53095E+07,
Q924T3,XRCC4_MOUSE,Xrcc4,DNA repair protein XRCC4,4.09659E+07,3.51691E+07,3.65259E+07,5.21424E+07,4.3184E+07,3.51836E+07,4.52338E+07,4.56681E+07,4.51724E+07,4.11046E+07,3.21699E+07,3.53215E+07,
Q6KAR6,EXOC3_MOUSE,Exoc3,Exocyst complex component 3,1.82216E+07,1.91367E+07,1.9023E+07,1.76937E+07,1.89429E+07,1.72009E+07,2.14351E+07,1.90571E+07,1.9786E+07,2.06052E+07,1.75417E+07,1.98272E+07,
Q9D1L9,LTOR5_MOUSE,Lamtor5,Ragulator complex protein LAMTOR5,1.8381E+07,1.75534E+07,2.16684E+07,1.7689E+07,,1.91768E+07,1.81262E+07,2.42546E+07,1.83952E+07,2.46806E+07,3.01118E+07,1.70965E+07,
P62264,RS14_MOUSE,Rps14,40S ribosomal protein S14,3.12715E+07,3.9135E+07,3.71028E+07,3.08137E+07,2.90629E+06,3.19911E+07,3.48784E+07,3.83983E+07,3.84232E+07,3.51224E+07,3.74141E+07,3.51063E+07,
Q9CYF5,RCC1L_MOUSE,Rcc1l,RCC1-like G exchanging factor-like protein,3.0685E+06,3.06448E+06,3.7638E+06,3.57806E+06,,2.77819E+06,4.60594E+06,2.88412E+06,4.2594E+06,4.29102E+06,3.94197E+06,3.47299E+06,
P97762,RP9_MOUSE,rp9,Retinitis pigmentosa 9 protein homolog,2.45277E+07,2.24894E+07,2.59539E+07,1.66135E+07,,1.6656E+07,1.74749E+07,2.03875E+07,1.70364E+07,1.87317E+07,1.70334E+07,2.53789E+07,
Q6PB97,FXL19_MOUSE,Fbxl19,F-box/LRR-repeat protein 19,1.58832E+07,2.86184E+07,2.42646E+07,1.8505E+07,,1.62805E+07,2.00004E+07,2.16328E+07,2.98005E+07,1.69237E+07,2.65923E+07,2.10338E+07,
Q6NVE8,WDR44_MOUSE,Wdr44,WD repeat-containing protein 44,3.25371E+07,2.76156E+07,3.07E+07,4.02719E+07,2.9892E+07,3.70783E+07,2.89169E+07,3.22411E+07,3.06615E+07,5.00594E+07,3.23982E+07,5.54313E+07,
P14148,RL7_MOUSE,Rpl7,60S ribosomal protein L7,4.51424E+07,5.12314E+07,6.62993E+07,3.05728E+07,3.1775E+07,3.5765E+07,6.91627E+07,5.41814E+07,5.46516E+07,5.2066E+07,4.07481E+07,3.14285E+07,
Q6PD26,PIGS_MOUSE,Pigs,GPI transamidase component PIG-S,2.06866E+07,2.45301E+07,2.18805E+07,1.85207E+07,2.1477E+07,2.09779E+07,2.42485E+07,2.18007E+07,2.84403E+07,2.04001E+07,2.18075E+07,2.45591E+07,
Q80US4,ARP5_MOUSE,Actr5,Actin-related protein 5,1.14154E+07,9.1388E+06,1.06475E+07,1.20373E+07,1.23364E+07,1.34802E+07,9.36619E+06,9.38049E+06,1.02583E+07,1.29842E+07,1.34486E+07,1.33448E+07,
Q4VBD2,TAPT1_MOUSE,Tapt1,Transmembrane anterior posterior transformation protein 1,3.19532E+07,2.89906E+07,3.39368E+07,3.46644E+07,4.74245E+07,3.13241E+07,2.46478E+07,2.35716E+07,2.90156E+07,2.75938E+07,2.34502E+07,3.78719E+07,
Q5EE38,ACD_MOUSE,Acd,Adrenocortical dysplasia protein,1.09755E+07,8.87333E+06,9.15037E+06,8.85831E+06,,1.0634E+07,8.55215E+06,1.14367E+07,8.57989E+06,1.01359E+07,1.40295E+07,1.09334E+07,
Q8R0X2,CACL1_MOUSE,Cacul1,CDK2-associated and cullin domain-containing protein 1,,,6.2704E+06,2.28502E+06,5.38922E+06,4.13188E+06,3.31223E+06,2.77219E+06,1.14568E+07,,1.53521E+07,7.78539E+06,
Q9CZG9,PDZ11_MOUSE,Pdzd11,PDZ domain-containing protein 11,8.95413E+06,6.02231E+06,7.39509E+06,6.89322E+06,8.17014E+06,6.48796E+06,7.51719E+06,7.50935E+06,6.46615E+06,6.92752E+06,6.08508E+06,6.29158E+06,
Q8BZA9,TIGAR_MOUSE,Tigar,"Fructose-2,6-bisphosphatase TIGAR",1.21223E+07,5.84585E+06,7.75498E+06,4.66947E+06,,7.60129E+06,9.42372E+06,9.28109E+06,1.27334E+07,7.46029E+06,7.79011E+06,1.11425E+07,
G3X9K3,BIG1_MOUSE,Arfgef1,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,3.21121E+07,3.17391E+07,2.7764E+07,3.14889E+07,2.92751E+07,2.43771E+07,3.32113E+07,2.89571E+07,2.87014E+07,3.89218E+07,2.66498E+07,3.62685E+07,
P61294,RAB6B_MOUSE,Rab6b,Ras-related protein Rab-6B,2.05385E+07,2.0237E+07,2.15617E+07,1.84585E+07,,2.55023E+07,2.37524E+07,2.39132E+07,2.56169E+07,3.04096E+07,2.98255E+07,2.52807E+07,
Q9CZU4,ERAL1_MOUSE,Eral1,"GTPase Era, mitochondrial",2.02013E+07,1.97473E+07,2.04908E+07,1.24803E+07,1.36544E+07,9.68698E+06,2.2131E+07,1.82731E+07,1.85527E+07,1.4169E+07,1.20746E+07,1.52304E+07,
Q8BTY2,S4A7_MOUSE,Slc4a7,Sodium bicarbonate cotransporter 3,9.20722E+06,9.08925E+06,9.64616E+06,8.17196E+06,6.82247E+06,6.12997E+06,7.84898E+06,9.65014E+06,7.67669E+06,1.05425E+07,9.16407E+06,6.57594E+06,
Q3U213,SRAC1_MOUSE,Serac1,Protein SERAC1,2.62076E+06,1.85027E+06,3.59682E+06,4.53409E+06,,2.98199E+06,,4.34869E+06,1.9072E+06,4.90124E+06,,5.54978E+06,
Q4QQM4,P5I11_MOUSE,Trp53i11,Tumor protein p53-inducible protein 11,2.5503E+07,1.44014E+07,1.92114E+07,1.59001E+07,2.48536E+07,,1.09168E+07,1.97289E+07,1.5741E+07,3.37882E+07,2.31916E+07,2.82204E+07,
P56387,DYLT3_MOUSE,Dynlt3,Dynein light chain Tctex-type 3,3.72694E+06,2.77688E+06,1.80724E+06,2.08409E+06,,2.19757E+06,2.44552E+06,1.28349E+06,514583,4.01122E+06,2.8708E+06,2.04294E+06,
P70365,NCOA1_MOUSE,Ncoa1,Nuclear receptor coactivator 1,2.82351E+06,2.79859E+06,3.17033E+06,2.50584E+06,,3.00625E+06,3.09944E+06,3.18412E+06,2.71817E+06,3.7153E+06,2.81186E+06,3.19545E+06,
P62715,PP2AB_MOUSE,Ppp2cb,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,3.86144E+07,3.80386E+07,3.97696E+07,3.61665E+07,3.02058E+07,4.53008E+07,4.42283E+07,4.16107E+07,5.14723E+07,3.38389E+07,5.47468E+07,5.47669E+07,
Q99MR3,S12A9_MOUSE,Slc12a9,Solute carrier family 12 member 9,2.47503E+06,2.34641E+06,2.80692E+06,2.73835E+06,,2.69911E+06,2.2568E+06,2.70806E+06,1.98332E+06,3.50018E+06,2.53328E+06,3.7469E+06,
Q9JKX6,NUDT5_MOUSE,Nudt5,ADP-sugar pyrophosphatase,7.962E+07,9.06736E+07,8.28722E+07,8.02192E+07,8.5139E+07,7.92568E+07,8.95466E+07,8.64361E+07,9.03243E+07,8.9029E+07,8.86816E+07,8.01208E+07,
Q3UYV8,DAAF3_MOUSE,Dnaaf3,Dynein axonemal assembly factor 3,133754,109469,128471,85459.7,,78568.2,202627,224611,209278,106075,,151300,
Q8CHG7,RPGF2_MOUSE,Rapgef2,Rap guanine nucleotide exchange factor 2,2.86698E+07,3.25488E+07,2.4145E+07,2.11461E+07,2.97089E+07,2.0245E+07,3.0106E+07,3.03504E+07,2.53548E+07,3.10924E+07,2.63179E+07,2.69837E+07,
Q99L43,CDS2_MOUSE,Cds2,Phosphatidate cytidylyltransferase 2,6.06392E+06,7.32387E+06,7.80027E+06,6.28615E+06,7.52099E+06,6.47962E+06,8.07436E+06,8.6755E+06,5.78519E+06,7.87843E+06,6.84053E+06,7.39983E+06,
Q3TYX3,SMYD5_MOUSE,Smyd5,Histone-lysine N-trimethyltransferase SMYD5,1.74114E+07,1.8362E+07,1.78558E+07,1.50116E+07,3.01724E+07,2.07519E+07,1.63796E+07,1.87627E+07,1.78551E+07,1.68257E+07,1.29798E+07,1.69152E+07,
O08688,CAN5_MOUSE,Capn5,Calpain-5,1.21109E+07,1.18505E+07,1.25388E+07,1.57908E+07,1.24392E+07,2.08848E+07,1.14269E+07,1.15274E+07,8.5735E+06,1.58621E+07,2.14958E+07,2.71003E+07,
Q5NCC3,TRI41_MOUSE,Trim41,E3 ubiquitin-protein ligase TRIM41,9.8494E+06,8.90811E+06,6.02879E+06,1.15538E+07,7.08846E+06,9.35579E+06,1.04904E+07,1.0664E+07,5.96234E+06,1.66398E+07,1.03309E+07,1.0448E+07,
Q9D136,OGFD3_MOUSE,Ogfod3,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3,3.5088E+07,3.09929E+07,2.66469E+07,2.15155E+07,,1.99867E+07,3.69206E+07,3.49833E+07,2.51012E+07,2.02856E+07,1.71301E+07,1.99092E+07,
P47911,RL6_MOUSE,Rpl6,60S ribosomal protein L6,8.21811E+07,1.14024E+08,1.31624E+08,5.36533E+07,4.81261E+07,6.22897E+07,1.11989E+08,8.8504E+07,9.42311E+07,8.84998E+07,5.7751E+07,6.06019E+07,
Q8K310,MATR3_MOUSE,Matr3,Matrin-3,3.09736E+07,3.32069E+07,3.52759E+07,3.66804E+07,3.61447E+07,3.68541E+07,3.40232E+07,3.84172E+07,3.48717E+07,3.49416E+07,3.56343E+07,3.67755E+07,
Q99JB2,STML2_MOUSE,Stoml2,"Stomatin-like protein 2, mitochondrial",8.02633E+06,7.10425E+06,1.09788E+07,9.64385E+06,9.21745E+06,1.07359E+07,1.05094E+07,7.81308E+06,7.98713E+06,1.16755E+07,9.44572E+06,1.23074E+07,
Q8CHT0,AL4A1_MOUSE,Aldh4a1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",3.84418E+07,4.10594E+07,4.22307E+07,7.39782E+07,7.48669E+07,6.39149E+07,5.11077E+07,4.51483E+07,4.87844E+07,6.73382E+07,5.92156E+07,6.89377E+07,
Q9CS42,PRPS2_MOUSE,Prps2,Ribose-phosphate pyrophosphokinase 2,1.82398E+07,1.61837E+07,1.56013E+07,1.49416E+07,,1.5563E+07,1.59117E+07,1.42291E+07,1.36059E+07,1.15771E+07,1.42903E+07,1.5181E+07,
P19253,RL13A_MOUSE,Rpl13a,60S ribosomal protein L13a,5.28275E+07,6.74304E+07,4.87356E+07,3.80431E+07,3.96216E+07,2.93227E+07,7.14605E+07,4.31491E+07,6.47277E+07,5.18831E+07,3.54876E+07,4.15224E+07,
Q9D6W8,BORC6_MOUSE,Borcs6,BLOC-1-related complex subunit 6,3.04602E+07,2.41911E+07,2.05729E+07,2.09699E+07,,2.33862E+07,2.4565E+07,1.97222E+07,2.55382E+07,2.70222E+07,2.2236E+07,3.92073E+07,
Q8C4V4,FBXL3_MOUSE,Fbxl3,F-box/LRR-repeat protein 3,3.96827E+06,4.6326E+06,4.2139E+06,5.06543E+06,5.9669E+06,,5.12433E+06,5.17099E+06,3.75008E+06,3.63361E+06,4.35814E+06,5.64954E+06,
P41234,ABCA2_MOUSE,Abca2,ATP-binding cassette sub-family A member 2,4.29073E+07,4.0273E+07,4.72453E+07,2.26848E+07,3.37748E+06,2.03691E+07,3.59281E+07,4.21674E+07,3.77721E+07,3.29031E+07,1.9975E+07,2.14034E+07,
Q8BHN3,GANAB_MOUSE,Ganab,Neutral alpha-glucosidase AB,6.15978E+07,5.48713E+07,5.93361E+07,5.11625E+07,5.05807E+07,4.28242E+07,5.14867E+07,5.88826E+07,4.90311E+07,5.58648E+07,5.70679E+07,4.70737E+07,
Q3U3R4,LMF1_MOUSE,Lmf1,Lipase maturation factor 1,8.91585E+06,8.31108E+06,9.27515E+06,9.11839E+06,,1.00544E+07,6.64603E+06,8.98303E+06,1.23416E+07,5.91924E+06,8.72448E+06,9.41894E+06,
Q9CYN9,RENR_MOUSE,Atp6ap2,Renin receptor,1.63688E+07,1.32834E+07,1.27391E+07,1.22184E+07,9.35742E+06,7.35231E+06,1.38277E+07,1.50059E+07,1.39803E+07,1.29759E+07,1.20625E+07,1.01854E+07,
P35550,FBRL_MOUSE,Fbl,rRNA 2'-O-methyltransferase fibrillarin,5.07026E+07,5.07151E+07,4.83398E+07,5.20066E+07,5.01371E+07,5.10221E+07,5.16692E+07,5.03293E+07,5.52522E+07,5.95994E+07,5.2833E+07,5.15472E+07,
Q99KK7,DPP3_MOUSE,Dpp3,Dipeptidyl peptidase 3,2.33669E+07,2.24207E+07,2.01596E+07,2.5928E+07,2.45066E+07,2.40378E+07,2.18221E+07,2.0854E+07,2.13422E+07,2.46493E+07,3.08405E+07,2.68227E+07,
Q9D786,HAUS5_MOUSE,Haus5,HAUS augmin-like complex subunit 5,1.26377E+07,1.13868E+07,1.25402E+07,8.44754E+06,9.675E+06,7.83856E+06,1.3315E+07,1.205E+07,1.05769E+07,9.02037E+06,9.34668E+06,9.96724E+06,
P22682,CBL_MOUSE,Cbl,E3 ubiquitin-protein ligase CBL,9.82999E+06,1.091E+07,9.64272E+06,8.98275E+06,7.7502E+06,8.1534E+06,9.27436E+06,1.0619E+07,1.08813E+07,1.0544E+07,7.97288E+06,9.66835E+06,
Q3UHC2,LRRK1_MOUSE,Lrrk1,Leucine-rich repeat serine/threonine-protein kinase 1,1.51592E+07,1.71235E+07,1.44048E+07,1.14364E+07,1.23515E+07,1.077E+07,1.55206E+07,1.45804E+07,1.45371E+07,1.26505E+07,1.14762E+07,1.51967E+07,
P06876,MYB_MOUSE,Myb,Transcriptional activator Myb,1.11555E+06,1.35391E+06,1.22428E+06,1.26392E+06,,1.83167E+06,1.48847E+06,1.18352E+06,1.25415E+06,2.42615E+06,2.68996E+06,1.41056E+06,
Q9WU00,NRF1_MOUSE,Nrf1,Nuclear respiratory factor 1,4.64898E+06,4.29628E+06,3.98656E+06,4.76942E+06,,2.87425E+06,4.46172E+06,4.59232E+06,4.51522E+06,4.76609E+06,4.90332E+06,6.84301E+06,
Q9R0G8,NRK_MOUSE,Nrk,Nik-related protein kinase,4.15812E+07,4.73292E+07,4.69816E+07,3.26897E+07,1.96214E+07,1.90014E+07,3.66674E+07,3.64777E+07,3.53254E+07,2.40951E+07,1.51356E+07,8.6907E+06,
Q923D2,BLVRB_MOUSE,Blvrb,Flavin reductase (NADPH),1.35726E+07,1.37434E+07,1.45202E+07,2.57492E+07,1.27661E+07,3.01173E+07,1.82802E+07,1.11561E+07,1.62226E+07,3.82495E+07,2.33154E+07,3.23133E+07,
Q8QZY9,SF3B4_MOUSE,Sf3b4,Splicing factor 3B subunit 4,9.15924E+06,1.73533E+07,2.77909E+07,1.10269E+07,2.30737E+07,1.15705E+07,2.17113E+07,1.74983E+07,1.7292E+07,1.9446E+07,2.28434E+07,2.03347E+07,
P51612,XPC_MOUSE,Xpc,DNA repair protein complementing XP-C cells homolog,8.63222E+06,1.17065E+07,1.36918E+07,1.1771E+07,1.51418E+07,1.21967E+07,1.52475E+07,8.94935E+06,1.12416E+07,1.75146E+07,1.82135E+07,1.20177E+07,
P06795,MDR1B_MOUSE,Abcb1b,ATP-dependent translocase ABCB1,2.08154E+07,2.34718E+07,2.29875E+07,2.14079E+07,1.99227E+07,1.86673E+07,2.56134E+07,2.14351E+07,2.22604E+07,2.69979E+07,1.82594E+07,3.11611E+07,
O35623,BET1_MOUSE,Bet1,BET1 homolog,305639,338157,345754,938920,510672,347470,240641,462073,291112,433175,,235018,
Q80WW9,DDRGK_MOUSE,Ddrgk1,DDRGK domain-containing protein 1,3.88864E+07,3.62343E+07,3.15949E+07,3.70032E+07,,3.65926E+07,3.18125E+07,4.166E+07,4.00792E+07,3.568E+07,5.18525E+07,4.31354E+07,
Q9QUM0,ITA2B_MOUSE,Itga2b,Integrin alpha-IIb,9.4118E+06,9.57381E+06,1.08094E+07,3.46787E+07,6.66023E+06,3.08524E+07,1.19611E+07,1.01595E+07,1.01512E+07,3.3354E+07,3.83026E+07,3.84043E+07,
Q9JIY0,PKHO1_MOUSE,Plekho1,Pleckstrin homology domain-containing family O member 1,2.23847E+07,1.60396E+07,1.52202E+07,3.4064E+07,,2.31403E+07,1.55575E+07,1.82463E+07,1.15777E+07,2.13284E+07,1.64866E+07,1.63741E+07,
Q8K2R5,ZN668_MOUSE,Znf668,Zinc finger protein 668,1.67392E+07,1.78E+07,1.59059E+07,1.43758E+07,,1.62242E+07,2.22888E+07,2.06518E+07,1.77414E+07,1.8027E+07,1.60428E+07,1.67383E+07,
Q00417,TCF7_MOUSE,Tcf7,Transcription factor 7,1.02012E+07,,,1.05752E+07,,1.4668E+07,1.46181E+07,1.08733E+07,1.38897E+07,6.7641E+06,,1.0475E+07,
Q9D3D9,ATPD_MOUSE,Atp5f1d,"ATP synthase subunit delta, mitochondrial",2.50175E+07,1.58107E+07,1.78047E+07,3.14306E+07,580300,2.35168E+07,1.63759E+07,1.37579E+07,1.92093E+07,2.46662E+07,4.84661E+07,2.68671E+07,
O35350,CAN1_MOUSE,Capn1,Calpain-1 catalytic subunit,3.37362E+07,3.66585E+07,4.03244E+07,3.28656E+07,5.21296E+07,5.26382E+07,4.88301E+07,4.39129E+07,4.66381E+07,5.4152E+07,5.59129E+07,5.57176E+07,
P52293,IMA1_MOUSE,Kpna2,Importin subunit alpha-1,1.93951E+07,2.37266E+07,1.79919E+07,6.11863E+06,6.20117E+06,3.37765E+06,1.72338E+07,1.70414E+07,2.49548E+07,5.61935E+06,6.24181E+06,8.84315E+06,
Q9WTK7,STK11_MOUSE,Stk11,Serine/threonine-protein kinase STK11,1.1779E+07,1.23956E+07,1.35782E+07,1.0957E+07,,7.86403E+06,1.34208E+07,1.29153E+07,1.12821E+07,1.31787E+07,1.24993E+07,1.12725E+07,
Q9DCM0,ETHE1_MOUSE,Ethe1,"Persulfide dioxygenase ETHE1, mitochondrial",2.92257E+07,2.90606E+07,2.90065E+07,3.49001E+07,2.92655E+07,3.096E+07,2.96174E+07,2.56675E+07,2.86152E+07,3.63516E+07,3.2383E+07,3.40208E+07,
Q9CQM5,TXD17_MOUSE,Txndc17,Thioredoxin domain-containing protein 17,4.61374E+07,4.6618E+07,3.54448E+07,6.33313E+07,1.13162E+08,6.09624E+07,5.05005E+07,4.25449E+07,5.34904E+07,5.39367E+07,5.26907E+07,5.72732E+07,
Q9Z2K1,K1C16_MOUSE,Krt16,"Keratin, type I cytoskeletal 16",6.58557E+06,4.4068E+06,1.22587E+07,4.28905E+07,7.06401E+06,3.29064E+07,6.38824E+06,1.25646E+07,7.15254E+06,6.66627E+06,1.68253E+07,1.34944E+07,
Q8VC74,COX18_MOUSE,Cox18,"Cytochrome c oxidase assembly protein COX18, mitochondrial",8.27711E+06,7.2755E+06,1.35038E+07,,8.63E+06,9.88575E+06,1.28786E+07,1.35515E+07,1.03382E+07,1.13347E+07,2.07025E+07,1.01307E+07,
Q99LB2,DHRS4_MOUSE,Dhrs4,Dehydrogenase/reductase SDR family member 4,3.39405E+07,2.79902E+07,3.42813E+07,1.84291E+07,1.9264E+07,2.38932E+07,2.6415E+07,3.34245E+07,3.03992E+07,2.14611E+07,2.21315E+07,2.85783E+07,
Q8BHN7,CL029_MOUSE,,Uncharacterized protein C12orf29 homolog,6.67149E+06,7.17211E+06,7.98798E+06,8.18215E+06,1.52737E+07,6.93453E+06,8.06412E+06,7.03972E+06,9.07247E+06,6.68875E+06,6.67373E+06,5.82114E+06,
Q8BKC5,IPO5_MOUSE,Ipo5,Importin-5,6.20847E+07,6.91303E+07,6.20529E+07,4.76041E+07,4.86327E+07,5.50553E+07,8.00467E+07,6.57109E+07,8.31628E+07,5.45835E+07,5.17861E+07,7.17187E+07,
P56480,ATPB_MOUSE,Atp5f1b,"ATP synthase subunit beta, mitochondrial",2.09953E+08,2.33952E+08,2.35149E+08,2.56447E+08,1.1301E+08,2.73783E+08,1.84708E+08,2.51928E+08,2.76611E+08,3.14283E+08,2.74438E+08,2.73235E+08,
Q6P0X2,ZN511_MOUSE,Znf511,Zinc finger protein 511,805471,891928,656878,830583,,700857,1.01939E+06,653438,767844,885490,,1.17229E+06,
Q8CJ78,ZN628_MOUSE,Znf628,Zinc finger protein 628,2.81604E+06,5.6934E+06,1.83889E+06,4.23865E+06,,4.46849E+06,5.51423E+06,3.96806E+06,7.04563E+06,4.53701E+06,6.34998E+06,4.67584E+06,
Q5FWH2,UNKL_MOUSE,Unkl,Putative E3 ubiquitin-protein ligase UNKL,2.08576E+06,2.13001E+06,1.88703E+06,4.92183E+06,,3.23521E+06,2.03667E+06,2.14713E+06,2.14212E+06,2.92617E+06,1.9796E+06,2.53912E+06,
Q91VC3,IF4A3_MOUSE,Eif4a3,Eukaryotic initiation factor 4A-III,8.09933E+07,8.55894E+07,9.16429E+07,8.81026E+07,4.07532E+07,7.67463E+07,8.53877E+07,8.82499E+07,8.48361E+07,8.50397E+07,8.53459E+07,9.6289E+07,
P60867,RS20_MOUSE,Rps20,40S ribosomal protein S20,7.19527E+07,1.03049E+08,1.12123E+08,6.2381E+07,5.13439E+07,7.02059E+07,3.72853E+07,8.78758E+07,7.98174E+07,9.27243E+07,7.12467E+07,6.11275E+07,
P53569,CEBPZ_MOUSE,Cebpz,CCAAT/enhancer-binding protein zeta,1.77584E+07,1.91826E+07,2.14469E+07,1.07796E+07,1.4201E+07,1.09824E+07,1.9316E+07,1.84827E+07,1.92478E+07,1.25958E+07,1.53417E+07,1.31837E+07,
Q5HZG4,TAF3_MOUSE,Taf3,Transcription initiation factor TFIID subunit 3,6.55326E+06,8.30429E+06,6.19394E+06,8.29982E+06,,7.8733E+06,5.27603E+06,6.69422E+06,7.99543E+06,4.39727E+06,8.29528E+06,6.71591E+06,
Q9CQY5,MAGT1_MOUSE,Magt1,Magnesium transporter protein 1,3.89038E+06,4.7498E+06,3.88931E+06,3.33356E+06,2.27317E+06,4.03099E+06,4.96975E+06,4.98304E+06,4.40442E+06,4.95617E+06,3.03923E+06,4.47618E+06,
Q9D8W7,OCAD2_MOUSE,Ociad2,OCIA domain-containing protein 2,2.66649E+06,2.30667E+06,2.10893E+06,2.39104E+06,1.85493E+06,2.48731E+06,2.26548E+06,1.98997E+06,2.22645E+06,2.86162E+06,2.10944E+06,3.48654E+06,
Q08481,PECA1_MOUSE,Pecam1,Platelet endothelial cell adhesion molecule,1.63186E+07,2.12016E+07,1.44378E+07,4.55062E+07,2.75497E+07,3.84791E+07,1.69521E+07,1.52576E+07,1.7475E+07,4.41638E+07,5.44103E+07,3.86135E+07,
Q61206,PA1B2_MOUSE,Pafah1b2,Platelet-activating factor acetylhydrolase IB subunit alpha2,2.23664E+07,3.13233E+07,1.9227E+07,2.86279E+07,4.92484E+07,3.05362E+07,3.17571E+07,2.22813E+07,2.95664E+07,2.85074E+07,2.13538E+07,3.034E+07,
P00520,ABL1_MOUSE,Abl1,Tyrosine-protein kinase ABL1,8.0369E+06,8.98023E+06,8.00437E+06,6.21323E+06,8.59675E+06,7.48741E+06,1.01391E+07,7.89134E+06,7.47994E+06,9.39175E+06,8.25374E+06,7.78191E+06,
Q5SNZ0,GRDN_MOUSE,Ccdc88a,Girdin,2.38776E+07,2.7373E+07,2.70686E+07,2.20761E+07,2.82748E+07,2.82309E+07,2.69045E+07,2.54697E+07,2.64251E+07,2.81361E+07,3.1523E+07,2.79486E+07,
Q7TQC5,APTX_MOUSE,Aptx,Aprataxin,1.3048E+06,1.26763E+06,967622,950850,1.25385E+06,996209,775438,1.19646E+06,1.02452E+06,1.30056E+06,,1.14716E+06,
Q9ERS2,NDUAD_MOUSE,Ndufa13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,1.33468E+07,1.47404E+07,1.7193E+07,1.32033E+07,1.27698E+07,1.61127E+07,2.01222E+07,1.64345E+07,2.19739E+07,2.10328E+07,1.33714E+07,1.72155E+07,
Q9CYZ6,REX1B_MOUSE,Rex1bd,Required for excision 1-B domain-containing protein,2.50101E+07,2.19985E+07,2.39658E+07,1.59171E+07,,1.43064E+07,2.28142E+07,2.14739E+07,1.78049E+07,1.94775E+07,1.77699E+07,1.45342E+07,
Q9DCH2,POP7_MOUSE,Pop7,Ribonuclease P protein subunit p20,3.04712E+06,2.98891E+06,3.71673E+06,4.33311E+06,,3.37342E+06,3.66817E+06,2.78026E+06,3.3581E+06,2.45485E+06,3.00256E+06,3.58628E+06,
